data,preco_gasolina,preco_gasolina_real,postos_pesquisados,indice_ipca,ipca_mensal,salario_minimo,litros_por_salario,custo_tanque_50l,percentual_salario_tanque,indice_gasolina_100,indice_ipca_100,indice_salario_100
2015-01-01,3.032,5.648931283149238,34414.0,4110.2,1.24,788,259.8944591029024,151.6,19.238578680203045,100.0,100.0,100.0
2015-02-01,3.301,6.0759857920266125,34078.0,4160.34,1.22,788,238.7155407452287,165.05,20.945431472081218,108.87203166226914,101.21989197605956,100.0
2015-03-01,3.323,6.036789377167719,39073.0,4215.26,1.32,788,237.13511886849233,166.15,21.08502538071066,109.5976253298153,102.55607999610726,100.0
2015-04-01,3.308,5.9671701007493185,37269.0,4245.19,0.71,788,238.21039903264813,165.39999999999998,20.989847715736037,109.10290237467018,103.2842684054304,100.0
2015-05-01,3.299,5.907228001215919,33871.0,4276.6,0.74,788,238.8602606850561,164.95,20.93274111675127,108.8060686015831,104.04846479490051,100.0
2015-06-01,3.301,5.864473221680636,39539.0,4310.39,0.79,788,238.7155407452287,165.05,20.945431472081218,108.87203166226914,104.87056590920152,100.0
2015-07-01,3.296,5.81951531780379,36463.0,4337.11,0.62,788,239.07766990291265,164.79999999999998,20.913705583756343,108.7071240105541,105.52065592915186,100.0
2015-08-01,3.295,5.804980927840981,20698.0,4346.65,0.22,788,239.15022761760244,164.75,20.90736040609137,108.67414248021107,105.75276142280181,100.0
2015-09-01,3.277,5.742263647222502,13475.0,4370.12,0.54,788,240.46383887702166,163.85,20.793147208121827,108.08047493403694,106.32377986472679,100.0
2015-10-01,3.48,6.0483892009668745,14226.0,4405.95,0.82,788,226.4367816091954,174.0,22.081218274111674,114.77572559366756,107.19551360031143,100.0
2015-11-01,3.576,6.153095188127043,17843.0,4450.45,1.01,788,220.3579418344519,178.8,22.69035532994924,117.94195250659631,108.27818597635152,100.0
2015-12-01,3.633,6.191738369569814,24507.0,4493.17,0.96,788,216.90063308560417,181.65,23.052030456852794,119.82189973614777,109.31755145735,100.0
2016-01-01,3.676,6.186459910817696,22761.0,4550.23,1.27,880,239.39064200217626,183.8,20.88636363636364,121.2401055408971,110.70580507031286,111.6751269035533
2016-02-01,3.71,6.187990516599218,24756.0,4591.18,0.9,880,237.1967654986523,185.5,21.079545454545453,122.36147757255938,111.70210695343295,111.6751269035533
2016-03-01,3.73,6.194714482142392,26434.0,4610.92,0.43,880,235.92493297587131,186.5,21.19318181818182,123.02110817941951,112.18237555350106,111.6751269035533
2016-04-01,3.717,6.1356920942865445,22743.0,4639.05,0.61,880,236.75006725854183,185.85,21.11931818181818,122.59234828496042,112.86677047345628,111.6751269035533
2016-05-01,3.674,6.0177788087431,26393.0,4675.23,0.78,880,239.52095808383234,183.7,20.875,121.17414248021107,113.74701960975135,111.6751269035533
2016-06-01,3.646,5.951091970952278,24764.0,4691.59,0.35,880,241.36039495337357,182.29999999999998,20.715909090909086,120.25065963060686,114.14505376867305,111.6751269035533
2016-07-01,3.638,5.907311453162539,22686.0,4715.99,0.52,880,241.89114898295767,181.9,20.670454545454547,119.98680738786278,114.73869884677144,111.6751269035533
2016-08-01,3.651,5.90245025692776,27838.0,4736.74,0.44,880,241.029854834292,182.54999999999998,20.74431818181818,120.4155672823219,115.24354046031824,111.6751269035533
2016-09-01,3.648,5.8928851921620575,23221.0,4740.53,0.08,880,241.22807017543857,182.4,20.727272727272727,120.31662269129288,115.335750085154,111.6751269035533
2016-10-01,3.662,5.90015427763494,24478.0,4752.86,0.26,880,240.30584380120155,183.1,20.806818181818183,120.77836411609499,115.63573548732423,111.6751269035533
2016-11-01,3.671,5.904021663705365,26093.0,4761.42,0.18,880,239.7166984472896,183.54999999999998,20.857954545454543,121.07519788918204,115.84399785898498,111.6751269035533
2016-12-01,3.734,5.987386942228364,23221.0,4775.7,0.3,880,235.67220139260846,186.7,21.21590909090909,123.15303430079156,116.19142620797041,111.6751269035533
2017-01-01,3.768,6.019029932100502,26373.0,4793.85,0.38,937,248.67303609341826,188.39999999999998,20.106723585912484,124.27440633245381,116.63301055909689,118.90862944162437
2017-02-01,3.755,5.978534109408753,20404.0,4809.67,0.33,937,249.53395472703065,187.75,20.03735325506937,123.84564643799472,117.01790667120821,118.90862944162437
2017-03-01,3.687,5.855633711416536,27073.0,4821.69,0.25,937,254.1361540547871,184.35,19.674493062966917,121.60290237467018,117.3103498613206,118.90862944162437
2017-04-01,3.635,5.764977622171964,22713.0,4828.44,0.14,937,257.7716643741403,181.75,19.39701173959445,119.88786279683377,117.47457544645027,118.90862944162437
2017-05-01,3.617,5.718700132757706,27610.0,4843.41,0.31,937,259.05446502626484,180.85,19.300960512273214,119.29419525065963,117.83879129969345,118.90862944162437
2017-06-01,3.548,5.622538897867876,23375.0,4832.27,-0.23,937,264.09244644870347,177.4,18.932764140875133,117.01846965699207,117.5677582599387,118.90862944162437
2017-07-01,3.553,5.616978715366019,23377.0,4843.87,0.24,937,263.7207993245145,177.65,18.959445037353255,117.18337730870712,117.84998296919858,118.90862944162437
2017-08-01,3.781,5.966095096505923,14838.0,4853.07,0.19,937,247.81803755620206,189.05,20.176093916755605,124.70316622691293,118.07381635930125,118.90862944162437
2017-09-01,3.881,6.114110168428025,12508.0,4860.83,0.16,937,241.4326204586447,194.04999999999998,20.709711846318037,128.00131926121372,118.26261495790959,118.90862944162437
2017-10-01,3.895,6.11049594878361,15370.0,4881.25,0.42,937,240.56482670089858,194.75,20.784418356456776,128.46306068601584,118.75942776507227,118.90862944162437
2017-11-01,4.004,6.263953429269527,12806.0,4894.92,0.28,937,234.01598401598403,200.2,21.366061899679828,132.05804749340368,119.09201498710527,118.90862944162437
2017-12-01,4.085,6.362672949642628,12542.0,4916.46,0.44,937,229.37576499388004,204.25,21.7982924226254,134.72955145118732,119.61607707654129,118.90862944162437
2018-01-01,4.189,6.505790426144659,27471.0,4930.72,0.29,954,227.73931725948913,209.45,21.954926624737944,138.15963060686016,119.96301883120044,121.06598984771573
2018-02-01,4.208,6.514450184979278,23032.0,4946.5,0.32,954,226.71102661596956,210.4,22.054507337526204,138.7862796833773,120.34694175465914,121.06598984771573
2018-03-01,4.199,6.494674409961724,24090.0,4950.95,0.09,954,227.196951655156,209.95,22.00733752620545,138.48944591029021,120.45520899226314,121.06598984771573
2018-04-01,4.215,6.505113415587765,25483.0,4961.84,0.22,954,226.33451957295375,210.75,22.09119496855346,139.01715039577834,120.72015960293905,121.06598984771573
2018-05-01,4.314,6.631373533881073,21203.0,4981.69,0.4,954,221.1404728789986,215.7,22.610062893081757,142.28232189973616,121.20310447180185,121.06598984771573
2018-06-01,4.552,6.9101523175919715,22757.0,5044.46,1.26,954,209.57820738137085,227.59999999999997,23.85744234800838,150.13192612137203,122.73028076492629,121.06598984771573
2018-07-01,4.492,6.796636145035378,25523.0,5061.11,0.33,954,212.37756010685663,224.6,23.542976939203353,148.15303430079157,123.13537054157948,121.06598984771573
